lemma,part_of_speech,synonyms
mansard,noun,mansard roof
mantic,satellite,divinatory;sibylline;sibyllic;vatic;vatical
mantled,verb,mantle|mantle
mantled,satellite,cloaked;clothed;draped;wrapped
manual,noun,manual of arms
manufactured,verb,manufacture;fabricate;construct|fabricate;manufacture;cook up;make up;invent|manufacture|manufacture
manx,noun,Manx|Manx;Manx cat
manx,adjective,Manx
many-sided,adjective,multilateral
many-sided,satellite,multifaceted;miscellaneous;multifarious
many a,satellite,many an;many another
many an,satellite,many a;many another
many another,satellite,many a;many an
maoist,noun,Maoist
maoist,adjective,Maoist
maple-like,satellite,maplelike
maplelike,satellite,maple-like
marauding,verb,maraud
marauding,satellite,predatory;raiding
marbled,verb,marble
marbled,satellite,marbleized;marbleised
marbleised,verb,marbleize;marbleise
marbleised,satellite,marbled;marbleized
marbleized,verb,marbleize;marbleise
marbleized,satellite,marbled;marbleised
marginal,satellite,fringy|borderline|bare
marian,adjective,Marian
marine,noun,Marine;devil dog;leatherneck;shipboard soldier
marine,adjective,nautical;maritime
marital,adjective,matrimonial;married
maritime,adjective,nautical;marine
marked,verb,tag;label;mark|mark|distinguish;mark;differentiate|commemorate;mark|mark|stigmatize;stigmatise;brand;denounce;mark|notice;mark;note|scar;mark;pock;pit|score;nock;mark|set;mark|score;mark|cross off;cross out;strike out;strike off;mark|check;check off;mark;mark off;tick off;tick|grade;score;mark|punctuate;mark
marked,satellite,pronounced
marked-up,satellite,dirty;foul
marketable,satellite,merchantable;sellable;vendable;vendible
markovian,adjective,Markovian
marmoreal,adjective,marmorean
marmorean,adjective,marmoreal
maroc,noun,Morocco;Kingdom of Morocco;Maroc;Marruecos;Al-Magrib
maroc,adjective,Moroccan;Maroc
maroon,verb,strand
maroon,satellite,brownish-red
marooned,verb,maroon;strand|maroon
marooned,satellite,isolated;stranded
marred,verb,mar;impair;spoil;deflower;vitiate|mutilate;mar
marred,satellite,scarred
marriageable,satellite,nubile
married,verb,marry;get married;wed;conjoin;hook up with;get hitched with;espouse|marry;wed;tie;splice
married,adjective,marital;matrimonial
marshy,satellite,boggy;miry;mucky;muddy;quaggy;sloppy;sloughy;soggy;squashy;swampy;waterlogged
marsupial,noun,pouched mammal
martial,noun,Martial
martial,satellite,soldierly;soldierlike;warriorlike|warlike
martian,noun,Martian
martian,adjective,Martian
marvellous,satellite,fantastic;grand;howling;marvelous;rattling;terrific;tremendous;wonderful;wondrous|marvelous;miraculous|improbable;marvelous;tall
marvelous,satellite,fantastic;grand;howling;marvellous;rattling;terrific;tremendous;wonderful;wondrous|improbable;marvellous;tall|marvellous;miraculous
marxist,noun,Marxist|Bolshevik;Marxist;red;bolshie;bolshy
marxist,adjective,Marxist
marxist-leninist,adjective,Marxist-Leninist
masked,verb,dissemble;cloak;mask|mask|disguise;mask|mask|mask;block out
masked,satellite,cloaked;disguised
masonic,adjective,Masonic
masoretic,adjective,Masoretic
mass,noun,batch;deal;flock;good deal;great deal;hatful;heap;lot;mess;mickle;mint;mountain;muckle;passel;peck;pile;plenty;pot;quite a little;raft;sight;slew;spate;stack;tidy sum;wad|Mass|multitude;masses;hoi polloi;people;the great unwashed|bulk;volume|Mass|Mass
mass,satellite,aggregate;aggregated;aggregative
mass-produced,verb,mass-produce
massive,satellite,monolithic;monumental
master,noun,maestro|overlord;lord|victor;superior|headmaster;schoolmaster|master copy;original|captain;sea captain;skipper|professional|passkey;passe-partout;master key
master,verb,get the hang|overcome;get over;subdue;surmount|dominate|control
master,satellite,chief;main;primary;principal
mastered,verb,master;get the hang|overcome;get over;subdue;surmount;master|dominate;master|master;control
mastered,satellite,down;down pat
masterful,satellite,consummate;masterly;virtuoso
masterless,satellite,lordless
masterly,satellite,consummate;masterful;virtuoso
mastoid,noun,mastoid process;mastoid bone;mastoidal
mastoid,adjective,mastoidal
mastoidal,noun,mastoid;mastoid process;mastoid bone
mastoidal,adjective,mastoid
mat,noun,matting|gym mat|Master of Arts in Teaching;MAT|flatness;lusterlessness;lustrelessness;matt;matte
mat,verb,entangle;tangle;snarl|felt;felt up;mat up;matt-up;matte up;matte
mat,satellite,flat;matt;matte;matted
matched,verb,match;fit;correspond;check;jibe;gibe;tally;agree|match|match;mate;couple;pair;twin|equal;touch;rival;match|match;fit|meet;match;cope with|match|pit;oppose;match;play off|match|equal;match;equalize;equalise;equate
matching,verb,match;fit;correspond;check;jibe;gibe;tally;agree|match|match;mate;couple;pair;twin|equal;touch;rival;match|match;fit|meet;match;cope with|match|pit;oppose;match;play off|match|equal;match;equalize;equalise;equate
matching,satellite,duplicate;twin;twinned|coordinated;co-ordinated
matchless,satellite,nonpareil;one;one and only;peerless;unmatched;unmatchable;unrivaled;unrivalled
mated,verb,copulate;mate;pair;couple|match;mate;couple;pair;twin|checkmate;mate|entangle;tangle;mat;snarl|felt;felt up;mat up;matt-up;matte up;matte;mat
mated,satellite,paired
material,noun,stuff|fabric;cloth;textile
material,adjective,corporeal|substantial;real
materialistic,satellite,mercenary;worldly-minded|bourgeois;conservative
maternal,adjective,parental;paternal
maternal,satellite,enate;enatic
matey,satellite,chummy;pally;palsy-walsy
mathematical,adjective,numerical
matrilineal,satellite,matrilinear
matrilinear,satellite,matrilineal
matrimonial,adjective,marital;married
matt,noun,flatness;lusterlessness;lustrelessness;mat;matte
matt,satellite,flat;mat;matte;matted
matte,noun,flatness;lusterlessness;lustrelessness;mat;matt
matte,verb,felt;felt up;mat up;matt-up;matte up;mat
matte,satellite,flat;mat;matt;matted
matted,verb,entangle;tangle;mat;snarl|felt;felt up;mat up;matt-up;matte up;matte;mat
matted,satellite,flat;mat;matt;matte
matter-of-fact,satellite,prosaic|pragmatic;pragmatical
mature,verb,maturate;grow|ripen|senesce;age;get on;maturate|suppurate
mature,satellite,matured
mature,adjective,ripe|fledged
matured,verb,mature;maturate;grow|mature|mature|ripen;mature|senesce;age;get on;mature;maturate|suppurate;mature
matured,satellite,full-blown|mature
maudlin,satellite,bathetic;drippy;hokey;mawkish;kitschy;mushy;schmaltzy;schmalzy;sentimental;soppy;soupy;slushy
mauritanian,noun,Mauritanian
mauritanian,adjective,Mauritanian;Mauritian
mauritian,noun,Mauritian
mauritian,adjective,Mauritanian;Mauritian
maverick,noun,rebel
maverick,satellite,irregular;unorthodox
mawkish,satellite,bathetic;drippy;hokey;maudlin;kitschy;mushy;schmaltzy;schmalzy;sentimental;soppy;soupy;slushy
maxillary,noun,upper jaw;upper jawbone;maxilla
maximal,adjective,maximum
maximising,verb,maximize;maximise|maximize;maximise
maximising,satellite,maximizing
maximizing,verb,maximize;maximise|maximize;maximise
maximizing,satellite,maximising
maximum,noun,upper limit|utmost;uttermost;level best
maximum,adjective,maximal
mazed,satellite,baffled;befuddled;bemused;bewildered;confounded;confused;lost;mixed-up;at sea
mazy,satellite,labyrinthine;labyrinthian
meager,adjective,meagre;meagerly;stingy;scrimpy
meagerly,adjective,meager;meagre;stingy;scrimpy
meagerly,adverb,sparingly;slenderly;meagrely
meagre,adjective,meager;meagerly;stingy;scrimpy
mealy,satellite,farinaceous;coarse-grained;grainy;granular;granulose;gritty
mealy-mouthed,satellite,mealymouthed
mealymouthed,satellite,mealy-mouthed
mean,noun,mean value
mean,verb,intend|entail;imply|intend;signify;stand for|intend;think|think of;have in mind
mean,satellite,average|hateful|base;meanspirited|beggarly|mingy;miserly;tight|beggarly|bastardly
meandering,verb,weave;wind;thread;meander;wander
meandering,satellite,rambling;wandering;winding
meaning,noun,significance;signification;import|substance
meaning,verb,mean;intend|entail;imply;mean|mean;intend;signify;stand for|intend;mean;think|mean|think of;have in mind;mean|mean
meaning,satellite,pregnant;significant
meaningless,adjective,nonmeaningful
meanspirited,adjective,ungenerous
meanspirited,satellite,base;mean
measly,satellite,miserable;paltry
measurable,adjective,mensurable
measured,verb,measure;mensurate;measure out|quantify;measure|measure|measure;evaluate;valuate;assess;appraise;value
measured,adjective,mensural;mensurable
measured,satellite,metrical;metric|deliberate;calculated|careful;deliberate
measureless,satellite,illimitable;limitless
meat-eating,satellite,flesh-eating;zoophagous
meaty,satellite,substantive
mechanic,noun,machinist;shop mechanic|automobile mechanic;auto-mechanic;car-mechanic;grease monkey
mechanical,adjective,mechanically skillful
mechanically skillful,adjective,mechanical
mechanised,verb,mechanize;mechanise;motorize;motorise|mechanize;mechanise|mechanize;mechanise
mechanised,satellite,mechanized;motorized|mechanized
mechanized,verb,mechanize;mechanise;motorize;motorise|mechanize;mechanise|mechanize;mechanise
mechanized,satellite,mechanised|mechanised;motorized
meddlesome,satellite,interfering;meddling;officious;busy;busybodied
meddling,noun,tampering
meddling,verb,meddle;tamper
meddling,satellite,interfering;meddlesome;officious;busy;busybodied
mediaeval,adjective,medieval
mediaeval,satellite,medieval;gothic
medial,satellite,median|median
median,noun,median value
median,satellite,average|medial|medial
mediate,verb,intercede;intermediate;liaise;arbitrate
mediate,satellite,in-between;middle
mediated,verb,intercede;mediate;intermediate;liaise;arbitrate|mediate
medical,noun,checkup;medical checkup;medical examination;medical exam;health check
medical,adjective,aesculapian
medicative,satellite,medicinal
medicinal,satellite,medicative
medieval,adjective,mediaeval
medieval,satellite,mediaeval;gothic|chivalric;knightly
mediocre,satellite,second-rate|average;fair;middling
meditative,satellite,brooding;broody;contemplative;musing;pensive;pondering;reflective;ruminative
mediterranean,noun,Mediterranean;Mediterranean Sea
mediterranean,adjective,Mediterranean
medium,noun,culture medium|spiritualist;sensitive|mass medium|metier
medium,satellite,average;intermediate
medium-size,satellite,medium-sized;moderate-sized;moderate-size
medium-sized,satellite,medium-size;moderate-sized;moderate-size
medullated,adjective,myelinated
medusoid,noun,medusa;medusan
meek,satellite,mild;modest|tame|spiritless
meet,noun,sports meeting
meet,verb,run into;encounter;run across;come across;see|get together|converge|satisfy;fill;fulfill;fulfil|fit;conform to|match;cope with|gather;assemble;forgather;foregather|encounter;play;take on|encounter;receive|suffer|touch;adjoin;contact
meet,satellite,fitting
megalomaniacal,satellite,megalomanic
megalomanic,satellite,megalomaniacal
megascopic,satellite,gross
melancholic,noun,melancholiac
melancholic,satellite,melancholy
melancholy,noun,black bile
melancholy,satellite,melancholic|somber;sombre
melanesian,adjective,Melanesian
meliorative,satellite,ameliorating;ameliorative;amelioratory
mellifluous,satellite,dulcet;honeyed;mellisonant;sweet
mellisonant,satellite,dulcet;honeyed;mellifluous;sweet
mellow,verb,melt;mellow out
mellow,satellite,laid-back|mellowed|mellowed|high
mellow,adverb,mellowly
mellowed,verb,mellow|mellow;melt;mellow out|mellow
mellowed,satellite,mellow|mellow
melodic,adjective,melodious;musical
melodious,adjective,tuneful|melodic;musical
melodramatic,satellite,histrionic
meltable,satellite,disintegrable
melted,verb,melt;run;melt down|dissolve;thaw;unfreeze;unthaw;dethaw;melt|mellow;melt;mellow out|melt;meld|fade;melt|melt;disappear;evaporate
melted,adjective,liquid;liquified
melting,noun,thaw;melt;thawing
melting,verb,melt;run;melt down|dissolve;thaw;unfreeze;unthaw;dethaw;melt|mellow;melt;mellow out|melt;meld|fade;melt|melt;disappear;evaporate
melting,satellite,liquescent
membrane-forming,satellite,membranous
membranous,satellite,membrane-forming
menacing,verb,endanger;jeopardize;jeopardise;menace;threaten;imperil;peril|menace|menace
menacing,satellite,baleful;forbidding;minacious;minatory;ominous;sinister;threatening
mendelian,noun,Mendelian
mendelian,adjective,Mendelian
mendicant,noun,friar|beggar
menial,satellite,humble;lowly
menstrual,adjective,catamenial
mensurable,adjective,mensural;measured|measurable
mensural,adjective,measured;mensurable
mental,adjective,genial
mentally ill,satellite,unsound;unstable
mephistophelean,satellite,devilish;diabolic;diabolical;mephistophelian
mephistophelian,satellite,devilish;diabolic;diabolical;mephistophelean
mephitic,satellite,miasmic
mercantile,satellite,mercenary;moneymaking
mercenary,noun,soldier of fortune
mercenary,satellite,materialistic;worldly-minded|free-lance;freelance|mercantile;moneymaking
mercerised,verb,mercerize;mercerise
mercerised,adjective,mercerized
mercerized,verb,mercerize;mercerise
mercerized,adjective,mercerised
merchantable,satellite,marketable;sellable;vendable;vendible
merciless,adjective,unmerciful
mercurial,satellite,erratic;fickle;quicksilver
mercurial,adjective,Mercurial|Mercurial
mercuric,adjective,mercurous
mercurous,adjective,mercuric
mere,satellite,bare;simple
meretricious,satellite,brassy;cheap;flash;flashy;garish;gaudy;gimcrack;loud;tacky;tatty;tawdry;trashy|gilded;specious
merged,verb,unify;unite;merge|blend;flux;mix;conflate;commingle;immix;fuse;coalesce;meld;combine;merge|unite;unify;merge
merged,satellite,incorporate;incorporated;integrated;unified
merging,noun,meeting;coming together|confluence;conflux
merging,verb,unify;unite;merge|blend;flux;mix;conflate;commingle;immix;fuse;coalesce;meld;combine;merge|unite;unify;merge
merging,satellite,confluent
meridian,noun,acme;height;elevation;peak;pinnacle;summit;superlative;tiptop;top|Meridian|line of longitude
meridian,satellite,prime
meritable,satellite,meritorious
merited,verb,deserve;merit
merited,adjective,deserved
meritless,satellite,good-for-nothing;good-for-naught;no-account;no-count;no-good;sorry
meritorious,satellite,meritable
merovingian,noun,Merovingian|Merovingian;Merovingian dynasty
merovingian,adjective,Merovingian
merry,satellite,gay;jocund;jolly;jovial;mirthful|gay;festal;festive|alert;brisk;lively;rattling;snappy;spanking;zippy
meshed,noun,Mashhad;Meshed
meshed,verb,engage;mesh;lock;operate|interlock;mesh|mesh|enmesh;mesh;ensnarl
meshed,satellite,engaged;intermeshed
meshuga,satellite,meshugge;meshugga;meshuggeneh;meshuggener
meshugga,satellite,meshugge;meshuga;meshuggeneh;meshuggener
meshugge,satellite,meshugga;meshuga;meshuggeneh;meshuggener
meshuggeneh,noun,meshuggener
meshuggeneh,satellite,meshugge;meshugga;meshuga;meshuggener
meshuggener,noun,meshuggeneh
meshuggener,satellite,meshugge;meshugga;meshuga;meshuggeneh
mesic,adjective,mesonic
mesmeric,satellite,hypnotic;mesmerizing;spellbinding
mesmerised,verb,magnetize;mesmerize;mesmerise;magnetise;bewitch;spellbind|hypnotize;hypnotise;mesmerize;mesmerise
mesmerised,satellite,fascinated;hypnotized;hypnotised;mesmerized;spellbound;spell-bound;transfixed
mesmerized,verb,magnetize;mesmerize;mesmerise;magnetise;bewitch;spellbind|hypnotize;hypnotise;mesmerize;mesmerise
mesmerized,satellite,fascinated;hypnotized;hypnotised;mesmerised;spellbound;spell-bound;transfixed
mesmerizing,verb,magnetize;mesmerize;mesmerise;magnetise;bewitch;spellbind|hypnotize;hypnotise;mesmerize;mesmerise
mesmerizing,satellite,hypnotic;mesmeric;spellbinding
mesoamerican,noun,Mesoamerican
mesoamerican,adjective,Mesoamerican
mesoblastic,adjective,mesodermal
mesodermal,adjective,mesoblastic
mesolithic,noun,Mesolithic Age;Mesolithic;Epipaleolithic
mesomorphic,adjective,muscular
mesonic,adjective,mesic
mesozoic,noun,Mesozoic;Mesozoic era;Age of Reptiles
mesozoic,adjective,Mesozoic
messy,satellite,mussy
metabolic,adjective,metabolous
metabolous,adjective,metabolic
metacarpal,noun,metacarpal bone
metagrabolised,satellite,metagrobolized;metagrobolised;metagrabolized;mystified
metagrabolized,satellite,metagrobolized;metagrobolised;metagrabolised;mystified
metagrobolised,satellite,metagrobolized;metagrabolized;metagrabolised;mystified
metagrobolized,satellite,metagrobolised;metagrabolized;metagrabolised;mystified
metal,noun,metallic element|alloy
metal,adjective,metallic
metal-colored,satellite,metal-coloured;metallic-colored;metallic-coloured
metal-coloured,satellite,metal-colored;metallic-colored;metallic-coloured
metal-looking,satellite,metallike;metallic-looking
metallic,adjective,metal
metallic-colored,satellite,metal-colored;metal-coloured;metallic-coloured
metallic-coloured,satellite,metal-colored;metal-coloured;metallic-colored
metallic-looking,satellite,metallike;metal-looking
metallike,satellite,metal-looking;metallic-looking
metallurgic,adjective,metallurgical
metallurgical,adjective,metallurgic
metameric,satellite,segmental;segmented
metamorphic,adjective,metamorphous
metamorphous,adjective,metamorphic
metaphoric,satellite,metaphorical
metaphorical,satellite,metaphoric
meted out,satellite,apportioned;dealt out;doled out;parceled out
meteoric,adjective,meteorologic;meteorological
meteoritic,adjective,meteoritical
meteoritical,adjective,meteoritic
meteorologic,adjective,meteorological;meteoric
meteorological,adjective,meteorologic;meteoric
methodist,noun,Methodist
methodist,adjective,Methodist;Wesleyan
meticulous,satellite,punctilious
metonymic,satellite,metonymical
metonymical,satellite,metonymic
metric,noun,metric function|metric unit|system of measurement
metric,adjective,metrical
metric,satellite,measured;metrical
metrical,adjective,metric
metrical,satellite,measured;metric
mettlesome,satellite,game;gamy;gamey;gritty;spirited;spunky
mexican,noun,Mexican
mexican,adjective,Mexican
miasmal,satellite,miasmic;vaporous;vapourous
miasmic,satellite,mephitic|miasmal;vaporous;vapourous
michelangelesque,adjective,Michelangelesque
microbial,adjective,microbic
microbic,adjective,microbial
microcephalic,adjective,microcephalous;nanocephalic
microcephalous,adjective,microcephalic;nanocephalic
microscopic,adjective,microscopical
microscopic,satellite,microscopical|microscopical
microscopical,adjective,microscopic
microscopical,satellite,microscopic|microscopic
mid-atlantic,satellite,middle Atlantic;mid-Atlantic
middle,noun,center;centre;heart;eye|midriff;midsection
middle,satellite,in-between;mediate|center;halfway;midway
middle-of-the-road,satellite,centrist
middle atlantic,satellite,middle Atlantic;mid-Atlantic
middle eastern,adjective,Middle Eastern
middlemost,satellite,midmost
middling,verb,middle
middling,satellite,average;fair;mediocre
middling,adverb,reasonably;moderately;pretty;jolly;somewhat;fairly;passably
midget,noun,dwarf;nanus
midget,satellite,bantam;diminutive;lilliputian;petite;tiny;flyspeck
midi,noun,Midi|musical instrument digital interface;MIDI
midland,noun,Midland
midland,satellite,interior;upcountry
midmost,satellite,middlemost
midmost,adverb,in the midst
midway,noun,Midway;Battle of Midway
midway,satellite,center;halfway;middle
midway,adverb,halfway
miffed,verb,miff
miffed,satellite,annoyed;irritated;nettled;peeved;pissed;pissed off;riled;roiled;steamed;stung
mighty,adverb,mightily;powerful;right
migrant,noun,migrator
migrant,satellite,migratory
migratory,satellite,migrant
milanese,noun,Milanese
milanese,adjective,Milanese
mild,satellite,meek;modest|balmy;soft
militant,noun,activist
militant,satellite,hawkish;warlike|competitive|belligerent;war-ridden;warring
militarised,verb,militarize;militarise|militarize;militarise
militarised,satellite,militarized
militarized,verb,militarize;militarise|militarize;militarise
militarized,satellite,militarised
military,noun,armed forces;armed services;military machine;war machine
milklike,satellite,milky;whitish
milky,satellite,milklike;whitish
milled,verb,mill;mill about;mill around|mill|mill|mill
milled,satellite,polished
millenarian,noun,millenarist;chiliast
millenarian,adjective,chiliastic
millenary,noun,millennium|millennium
millennial,adjective,millennian
millennian,adjective,millennial
million,noun,1000000;one thousand thousand;meg|billion;trillion;zillion;jillion;gazillion
millionth,noun,one-millionth
mimic,noun,mimicker
mimic,verb,mime
minacious,satellite,baleful;forbidding;menacing;minatory;ominous;sinister;threatening
minatory,satellite,baleful;forbidding;menacing;minacious;ominous;sinister;threatening
mincing,verb,mince;soften;moderate|mince|mince
mincing,satellite,dainty;niminy-piminy;prim;twee
mind-bending,satellite,mind-blowing
mind-blowing,satellite,mind-bending
minded,verb,mind|mind|take care;mind|heed;mind;listen|beware;mind|mind;bear in mind
minded,satellite,apt;disposed;given;tending
mindful,adjective,aware
mindless,adjective,unmindful;forgetful
mindless,satellite,asinine;fatuous;inane;vacuous|reasonless;senseless
mine run,satellite,run-of-the-mill;run-of-the-mine;unexceptional
mined,verb,mine|mine
mingy,satellite,mean;miserly;tight
mini,noun,miniskirt
miniature,noun,illumination|toy
minimal,adjective,minimum
minimized,verb,minimize;minimise|understate;minimize;minimise;downplay|minimize;belittle;denigrate;derogate
minimum,noun,lower limit
minimum,adjective,minimal
miniscule,satellite,minuscule
minoan,noun,Minoan
minoan,adjective,Minoan
minor,noun,child;kid;youngster;shaver;nipper;small fry;tiddler;tike;tyke;fry;nestling
minor,adjective,nonaged;underage
minor,satellite,venial|modest;small;small-scale;pocket-size;pocket-sized
mint,noun,batch;deal;flock;good deal;great deal;hatful;heap;lot;mass;mess;mickle;mountain;muckle;passel;peck;pile;plenty;pot;quite a little;raft;sight;slew;spate;stack;tidy sum;wad|mint candy
mint,verb,coin;strike
minus,noun,subtraction
minus,satellite,negative
minuscular,adjective,minuscule
minuscule,noun,small letter;lowercase;lower-case letter
minuscule,adjective,minuscular
minuscule,satellite,little;small|miniscule
minute,noun,min|moment;mo;second;bit|moment;second;instant|arcminute;minute of arc|hour
minute,satellite,infinitesimal|narrow
miotic,noun,miotic drug;myotic drug;myotic
miotic,adjective,myotic
miraculous,satellite,marvelous;marvellous|heaven-sent;providential
mired,verb,entangle;mire|mire;bog down|grind to a halt;get stuck;bog down;mire|mire;muck;mud;muck up
mired,satellite,involved
mirky,satellite,cloudy;muddy;murky;turbid|murky
mirrored,verb,mirror|mirror
mirrorlike,satellite,specular
mirthful,satellite,gay;jocund;jolly;jovial;merry|amusing;comic;comical;funny;laughable;risible
miry,satellite,boggy;marshy;mucky;muddy;quaggy;sloppy;sloughy;soggy;squashy;swampy;waterlogged
misanthropic,satellite,cynical;misanthropical|misanthropical
misanthropical,satellite,cynical;misanthropic|misanthropic
misappropriated,verb,embezzle;defalcate;peculate;misappropriate;malversate
misappropriated,satellite,embezzled
misbegot,satellite,bastardly;misbegotten;spurious
misbegotten,satellite,bastardly;misbegot;spurious
misbranded,satellite,mislabeled
miscellaneous,satellite,assorted;mixed;motley;sundry|many-sided;multifaceted;multifarious
mischievous,satellite,arch;impish;implike;pixilated;prankish;puckish;wicked
miscible,adjective,mixable
miserable,satellite,suffering;wretched|hapless;misfortunate;pathetic;piteous;pitiable;pitiful;poor;wretched|abject;low;low-down;scummy;scurvy|deplorable;execrable;woeful;wretched|wretched|measly;paltry
miserly,satellite,mean;mingy;tight
misfortunate,satellite,hapless;miserable;pathetic;piteous;pitiable;pitiful;poor;wretched
misguided,verb,mislead;misdirect;misguide;lead astray|misadvise;misguide
misguided,satellite,ill-conceived|mistaken
mishnaic,adjective,Mishnaic
mislabeled,satellite,misbranded
mislaid,verb,misplace;mislay;lose
mislaid,satellite,misplaced
misleading,verb,mislead;misdirect;misguide;lead astray|misinform;mislead
misleading,satellite,deceptive;shoddy
mismatched,verb,mismatch
mismatched,satellite,uneven
mismated,verb,mismate
mismated,satellite,ill-sorted;incompatible;unsuited
misogynistic,satellite,misogynous
misogynous,satellite,misogynistic
misplaced,verb,misplace;mislay;lose|misplace
misplaced,satellite,mislaid
misrepresented,verb,misrepresent;belie|fudge;manipulate;fake;falsify;cook;wangle;misrepresent
misrepresented,satellite,distorted;perverted;twisted
missed,verb,miss;lose|miss|miss|neglect;pretermit;omit;drop;miss;leave out;overlook;overleap|miss|miss;lack|miss|miss|miss;escape
missed,satellite,lost
misshapen,satellite,deformed;distorted;ill-shapen;malformed
missing,verb,miss;lose|miss|miss|neglect;pretermit;omit;drop;miss;leave out;overlook;overleap|miss|miss;lack|miss|miss|miss;escape
missing,satellite,lacking;absent;wanting
missional,adjective,missionary
missionary,noun,missioner
missionary,adjective,missional
mistakable,satellite,confusable
mistaken,verb,mistake;misidentify|err;mistake;slip
mistaken,satellite,misguided|false
mistreated,verb,mistreat;maltreat;abuse;ill-use;step;ill-treat
mistreated,adjective,abused;ill-treated;maltreated
mistrustful,satellite,leery;suspicious;untrusting;wary
misty,satellite,brumous;foggy;hazy
misunderstood,verb,misconstrue;misinterpret;misconceive;misunderstand;misapprehend;be amiss
misused,verb,misapply;misuse|pervert;misuse;abuse
mithraic,adjective,mithraistic
mithraistic,adjective,mithraic
mitigated,verb,extenuate;palliate;mitigate|mitigate
mitigative,satellite,alleviative;alleviatory;lenitive;mitigatory;palliative
mitigatory,satellite,alleviative;alleviatory;lenitive;mitigative;palliative
mixable,adjective,miscible
mixed,verb,blend;flux;mix;conflate;commingle;immix;fuse;coalesce;meld;combine;merge|desegregate;integrate;mix|mix|mix;mix in|mix;mingle;commix;unify;amalgamate|shuffle;ruffle;mix
mixed,satellite,assorted;miscellaneous;motley;sundry|interracial
mixed-up,satellite,baffled;befuddled;bemused;bewildered;confounded;confused;lost;mazed;at sea
mnemonic,adjective,mnemotechnic;mnemotechnical
mnemotechnic,adjective,mnemonic;mnemotechnical
mnemotechnical,adjective,mnemonic;mnemotechnic
mobbish,satellite,moblike
mobile,noun,Mobile;Mobile River|Mobile
mobile,satellite,nomadic;peregrine;roving;wandering|fluid
moblike,satellite,mobbish
mock,verb,bemock
mocking,verb,mock;bemock|mock
mocking,satellite,derisive;gibelike;jeering;taunting|teasing;quizzical
mod,satellite,modern;modernistic
modal,noun,modal auxiliary verb;modal auxiliary;modal verb
modal,satellite,average
model,noun,theoretical account;framework|poser|simulation|exemplar;example;good example|role model|example|mannequin;manikin;mannikin;manakin;fashion model|modelling;modeling
model,verb,pattern|mold;mould|pose;sit;posture|simulate|mock up
model,satellite,exemplary
modeled,verb,model;pattern|model;mold;mould|model;pose;sit;posture|model|model;simulate|model;mock up
modeled,satellite,sculptural;sculptured;sculpturesque
moderate,noun,centrist;middle of the roader;moderationist
moderate,verb,chair;lead|control;hold in;hold;contain;check;curb|mince;soften|tone down;tame|chasten;temper
moderate,satellite,temperate|restrained
moderate-size,satellite,medium-sized;medium-size;moderate-sized
moderate-sized,satellite,medium-sized;medium-size;moderate-size
moderating,verb,moderate;chair;lead|moderate|control;hold in;hold;contain;check;curb;moderate|mince;soften;moderate|tone down;moderate;tame|chasten;moderate;temper
modern,noun,modern font;Bodoni;Bodoni font
modern,satellite,mod;modernistic|advanced;forward-looking;innovative|Modern;New
modern-day,satellite,contemporary
modernised,verb,modernize;modernise;develop|overhaul;modernize;modernise
modernised,satellite,modernized
modernistic,satellite,mod;modern
modernized,verb,overhaul;modernize;modernise|modernize;modernise;develop
modernized,satellite,modernised
modest,satellite,small|humble;low;lowly;small|meek;mild|minor;small;small-scale;pocket-size;pocket-sized
modified,verb,modify|modify;qualify|change;alter;modify
modified,satellite,limited
modish,satellite,latest;a la mode;in style;in vogue
modulated,verb,modulate|tone;inflect;modulate|regulate;modulate|modulate|modulate
mohammedan,noun,Mohammedan;Muhammedan;Muhammadan
mohammedan,adjective,Muhammadan;Mohammedan
moire,noun,watered-silk
moire,satellite,watered
moist,satellite,damp;dampish
molar,noun,grinder
moldable,satellite,fictile;plastic
molded,verb,model;mold;mould|mold;mildew|cast;mold;mould|shape;form;work;mold;mould;forge|mold|determine;shape;mold;influence;regulate
molded,satellite,shaped;wrought
moldovan,adjective,Moldovan
moldy,satellite,mouldy;musty
molten,verb,melt;run;melt down|dissolve;thaw;unfreeze;unthaw;dethaw;melt|mellow;melt;mellow out|melt;meld|fade;melt|melt;disappear;evaporate
molten,satellite,liquefied;liquified
momentaneous,satellite,fleeting;fugitive;momentary
momentary,satellite,fleeting;fugitive;momentaneous
monacan,noun,Monegasque;Monacan
monacan,adjective,Monacan;Monegasque
monarchal,satellite,monarchical|monarchical;monarchic
monarchic,satellite,monarchal;monarchical
monarchical,satellite,monarchal|monarchal;monarchic
monastic,noun,monk
monastic,satellite,cloistered;cloistral;conventual;monastical
monastical,satellite,cloistered;cloistral;conventual;monastic
monatomic,adjective,monoatomic
monecious,adjective,monoecious;monoicous
monegasque,noun,Monegasque;Monacan
monegasque,adjective,Monacan;Monegasque
moneran,noun,moneron
monestrous,satellite,monoestrous
monetary,adjective,pecuniary
moneyed,adjective,monied
moneyed,satellite,affluent;flush;loaded;wealthy
moneymaking,satellite,lucrative;remunerative|mercantile;mercenary
mongol,noun,Mongol;Mongolian
mongol,adjective,Mongol;Mongolian
mongolian,noun,Mongol;Mongolian|Mongolian;Mongolic;Mongolic language
mongolian,adjective,Mongolian|Mongol;Mongolian
mongoloid,noun,Mongoloid
mongoloid,adjective,Mongoloid
monied,adjective,moneyed
