lemma,part_of_speech,synonyms
addressed,verb,address;turn to|address;speak|address;direct|address|address|address;call|address|cover;treat;handle;plow;deal;address|address;accost;come up to|address
adducent,adjective,adductive;adducting
adducting,verb,adduct
adducting,adjective,adducent;adductive
adductive,adjective,adducent;adducting
adenoid,noun,pharyngeal tonsil;Luschka's tonsil;third tonsil;tonsilla pharyngealis;tonsilla adenoidea
adenoidal,satellite,pinched;nasal
adept,noun,ace;champion;sensation;maven;mavin;virtuoso;genius;hotshot;star;superstar;whiz;whizz;wizard;wiz
adept,satellite,expert;good;practiced;proficient;skillful;skilful
adequate,adjective,equal
adequate,satellite,decent;enough|passable;fair to middling;tolerable
adequate to,satellite,capable;equal to;up to
adherent,noun,disciple
adhesive,noun,adhesive material;adhesive agent
adjacent,satellite,next;side by side|conterminous;contiguous;neighboring
adjectival,adjective,adjective
adjective,adjective,adjectival|procedural
adjudicative,adjective,adjudicatory
adjudicatory,adjective,adjudicative
adjunct,satellite,accessory;ancillary;adjuvant;appurtenant;auxiliary|assistant
adjusted,verb,adjust;set;correct|align;aline;line up;adjust|adjust;conform;adapt|adjust|adjust
adjusted,satellite,familiarized;familiarised
adjuvant,satellite,accessory;adjunct;ancillary;appurtenant;auxiliary
admired,verb,admire;look up to|admire
admittable,satellite,admittible
admittible,satellite,admittable
admonishing,verb,warn;discourage;admonish;monish|caution;admonish;monish|admonish;reprove
admonishing,satellite,admonitory;reproachful;reproving
admonitory,satellite,cautionary;exemplary;monitory;warning|admonishing;reproachful;reproving
adnexal,adjective,annexal
adolescent,noun,stripling;teenager;teen
adolescent,satellite,teen;teenage;teenaged|jejune;juvenile;puerile
adonic,noun,Adonic;Adonic line
adonic,adjective,Adonic
adonic,satellite,Adonic
adopted,verb,adopt;follow;espouse|adopt;borrow;take over;take up|assume;adopt;take on;take over|assume;acquire;adopt;take on;take|adopt;take in|dramatize;dramatise;adopt|espouse;embrace;adopt;sweep up
adopted,adjective,adoptive
adoptive,adjective,adopted
adorable,satellite,endearing;lovely
adored,verb,adore
adored,satellite,idolized;idolised;worshipped
adoring,verb,adore
adoring,satellite,worshipful|doting;fond
adorned,verb,decorate;adorn;grace;ornament;embellish;beautify|deck;adorn;decorate;grace;embellish;beautify|invest;clothe;adorn
adorned,adjective,decorated
adpressed,satellite,appressed
adrenal,noun,adrenal gland;suprarenal gland
adrenergic,noun,adrenergic drug
adrenergic,adjective,sympathomimetic
adrenocorticotrophic,satellite,adrenocorticotropic
adrenocorticotropic,satellite,adrenocorticotrophic
adrift,satellite,afloat;aimless;directionless;planless;rudderless;undirected
adscript,satellite,adscripted
adscripted,satellite,adscript
adsorbable,adjective,adsorbate
adsorbate,adjective,adsorbable
adsorbent,noun,adsorbent material
adsorbent,adjective,adsorptive;surface-assimilative
adsorptive,adjective,adsorbent;surface-assimilative
adult,noun,grownup
adult,satellite,big;full-grown;fully grown;grown;grownup|pornographic
adulterant,noun,adulterator
adulterant,adjective,adulterating
adulterate,verb,load;stretch;dilute;debase
adulterate,satellite,adulterated;debased
adulterated,verb,load;adulterate;stretch;dilute;debase
adulterated,satellite,adulterate;debased
adulterating,verb,load;adulterate;stretch;dilute;debase
adulterating,adjective,adulterant
adulterous,satellite,extramarital;extracurricular|cheating;two-timing
adumbrative,satellite,foreshadowing;prefigurative
adust,satellite,baked;parched;scorched;sunbaked
